symbol,side,liqSum
ATOMUSDT,BUY,0
ATOMUSDT,SELL,0
BTCUSDT,BUY,7429.3255
BTCUSDT,SELL,0
FTMUSDT,BUY,13.303799999999999
FTMUSDT,SELL,0
1000RATSUSDT,BUY,45.9518283
1000RATSUSDT,SELL,0
MEMEUSDT,BUY,0
MEMEUSDT,SELL,0
NEARUSDT,BUY,1148.6068
NEARUSDT,SELL,0
OPUSDT,BUY,0
OPUSDT,SELL,0
DOGEUSDT,BUY,351.383316
DOGEUSDT,SELL,0
DOTUSDT,BUY,33.6384
DOTUSDT,SELL,0
XTZUSDT,BUY,121.3104
XTZUSDT,SELL,0
STRKUSDT,BUY,0
STRKUSDT,SELL,0
1000FLOKIUSDT,BUY,0
1000FLOKIUSDT,SELL,0
1000PEPEUSDT,BUY,7224.6727956
1000PEPEUSDT,SELL,0
ONTUSDT,BUY,0
ONTUSDT,SELL,0
ONDOUSDT,BUY,336.4109436
ONDOUSDT,SELL,0
SAGAUSDT,BUY,1.558
SAGAUSDT,SELL,0
ONGUSDT,BUY,0
ONGUSDT,SELL,0
OMNIUSDT,BUY,757.3916999999999
OMNIUSDT,SELL,0
ATAUSDT,BUY,0
ATAUSDT,SELL,0
WIFUSDT,BUY,1402.34752756
WIFUSDT,SELL,0
BELUSDT,BUY,0
BELUSDT,SELL,0
PENDLEUSDT,BUY,0
PENDLEUSDT,SELL,0
IMXUSDT,BUY,0
IMXUSDT,SELL,0
ORDIUSDT,BUY,13.392299999999999
ORDIUSDT,SELL,0
BOMEUSDT,BUY,0
BOMEUSDT,SELL,0
WUSDT,BUY,0
WUSDT,SELL,0
BIGTIMEUSDT,BUY,0
BIGTIMEUSDT,SELL,0
SOLUSDT,BUY,1668.2899999999997
SOLUSDT,SELL,0
ETHUSDT,BUY,2122.7299599999997
ETHUSDT,SELL,0
SOLUSDC,BUY,0
SOLUSDC,SELL,0
DASHUSDT,BUY,0
DASHUSDT,SELL,0
BANDUSDT,BUY,0
BANDUSDT,SELL,0
RLCUSDT,BUY,0
RLCUSDT,SELL,0
WIFUSDC,BUY,101.55911
WIFUSDC,SELL,0
TONUSDT,BUY,210.80020820000001
TONUSDT,SELL,0
CKBUSDT,BUY,0
CKBUSDT,SELL,0
MYROUSDT,BUY,0
MYROUSDT,SELL,0
LPTUSDT,BUY,0
LPTUSDT,SELL,0
WAVESUSDT,BUY,0
WAVESUSDT,SELL,0
BNBUSDT,BUY,0
BNBUSDT,SELL,0
WLDUSDT,BUY,162.05136800000002
WLDUSDT,SELL,0
JASMYUSDT,BUY,0
JASMYUSDT,SELL,0
TAOUSDT,BUY,0
TAOUSDT,SELL,148.70164
EDUUSDT,BUY,0
EDUUSDT,SELL,0
ACEUSDT,BUY,0
ACEUSDT,SELL,0